segmentName,test_short_enhMagn_MWA_PESQ,test_short_enhMagn_MWA_STOI,test_short_enhMagn_MWA_SegSNR,test_short_enhMagn_MWA_DNSMOS_OVRL,test_short_enhMagn_MWA_DNSMOS_SIG,test_short_enhMagn_MWA_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.595,0.775933777523126,-1.77806096268736,3.3316300368159,3.59644940079894,4.10079305839611
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3.643,0.88507130471633,-3.24100434569526,3.06162044530361,3.38771771632852,4.01664477221049
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3.471,0.657223927133263,-0.377335251460004,3.24033255330145,3.57870122583383,3.94313783172876
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.48,0.914544346957713,-0.173524987436517,3.30156593099305,3.55305661875114,4.11267193399312
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2.101,0.84985319344587,-1.41314116204755,3.30061317524433,3.57329987300002,4.09061649405089
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.924,0.738289823860816,-1.26831519377052,3.17040196998812,3.44307896425919,4.06436283334856
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.473,0.712786875876512,-1.55163392241606,3.03391069177455,3.35264923398685,3.95862410093524
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3.377,0.585594516502023,-0.948342499293542,3.20705575454353,3.45104884151546,4.12594241850935
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3.434,0.665394959437041,-0.935212344067331,2.589339585948,2.8474179982361,3.9084774390631
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,3.386,0.81117171145554,-1.03924547293208,3.06092729115226,3.33997048554008,4.010702081789
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.759,0.780543647595583,-0.857305407322748,3.38668345428448,3.64799098848764,4.09496372338183
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3.656,0.902659814382201,-2.36166502957511,3.07046658927869,3.37352616237381,4.03249790036165
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3.727,0.659138224737871,-1.54733430357785,3.31981992826396,3.63391649272527,3.985007269236
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.67,0.930100584606192,-0.788683029053781,3.42114885589946,3.6581477637714,4.14817484466373
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3.548,0.863949751416387,-0.414908699393992,3.3001973862623,3.57049039488437,4.08565029967594
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4.123,0.742195563750365,-0.717952329015242,3.20756358272357,3.49736213231805,4.04269975551331
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3.662,0.731038211020005,0.0662384431815654,3.36835488479966,3.63520772975418,4.11293219663046
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3.577,0.621960517053064,-0.676539936893036,3.18920979461843,3.48001840105375,4.05859075249096
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,3.383,0.665452399296678,-0.795625143192536,2.77891998705443,3.06100369565985,3.91835006908867
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,3.688,0.83180554913889,-0.579045485602138,3.34016549216167,3.58494174020499,4.16769096493792
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,3.813,0.787850192873878,-0.812031727147676,3.46564727443539,3.70235433929912,4.13382058038884
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_22,3.662,0.90377548465477,-1.97088709205377,3.05996585987915,3.37642054045921,4.0189712671356
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_23,3.869,0.666167798719327,-0.157765043849778,3.35275004469835,3.66695791010364,3.97426711988411
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_24,4.006,0.941829446783466,-0.879869467262069,3.44332756977493,3.68244972484335,4.15539817983526
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_25,3.989,0.876328360858923,-1.63905821968323,3.3910865759197,3.62939999439673,4.13616515490055
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_26,4.163,0.760882881551792,-0.183122555443711,3.24944212948279,3.5293859051482,4.06658739771201
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_27,3.739,0.775637393719543,0.192269624154644,3.18766089126512,3.48396022530107,4.04251510555524
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_28,3.624,0.596805456304755,-0.288034737063723,3.2121163433964,3.46508109191264,4.11120358602757
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_29,3.617,0.67960932890995,-0.20141345970828,2.98163357175164,3.25482713254177,4.01182520645734
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_30,3.775,0.838587172903019,-0.222534824844888,3.34705321798309,3.5693403883707,4.16763588264898
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_31,3.214,0.72039460914225,-1.36060221819524,3.22369202545283,3.47360595353004,4.09884161803421
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_32,2.369,0.841447524596523,-2.50494363756448,2.99783758671322,3.32623843831135,4.0025503159078
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_33,3.06,0.605192171814324,-1.17529869226454,3.1890593239967,3.51299641303433,3.97601216734513
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_34,2.721,0.827051034897047,-1.81604258719253,3.16166587069149,3.43054105460064,4.08714885162148
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_35,2.743,0.767983814987347,-1.67793908609695,3.05777935605141,3.33430651377071,4.04301941852788
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_36,2.882,0.663565590386755,-1.48671644139019,3.0111569298318,3.25488310659135,4.08952215702998
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_37,2.938,0.67874705315248,-0.719589176696477,3.22596808413923,3.49093247113664,4.10935661900892
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_38,3.355,0.507933015852298,-0.0672541494821085,2.95275598285286,3.24223708616592,4.01229857690909
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_39,3.223,0.570789350244632,0.0504369280845886,2.66873069540496,2.91020947764386,3.98706371200417
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_40,2.581,0.679786128382737,-0.33070188078567,2.77706639418421,3.07584289507365,3.92503962133031
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_41,3.517,0.770298325678113,-0.840322728410001,3.46522582195537,3.66470691059656,4.18503385929017
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_42,2.891,0.867566869444348,0.130797546899653,3.02228871984702,3.31446523525616,4.05849080008583
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_43,3.097,0.607612844780774,-1.09710076826742,3.32376247668262,3.60507526484106,4.04922016945273
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_44,3.185,0.895132120132029,-0.762018174442217,3.20171594884064,3.46582439355272,4.08292829583788
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_45,3.115,0.797597432208711,-1.05473049577024,3.35789531160034,3.58745356996013,4.15192972173545
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_46,3.557,0.724833096913724,-0.463721985758769,3.02310485567812,3.32108651011898,3.99145852326815
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_47,3.006,0.703259215810596,0.124681677248987,3.16001671857054,3.42618413395561,4.09627985444121
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_48,3.326,0.577706590726575,0.184977132322617,3.0851278376908,3.37850882498847,4.03657974014366
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_49,3.291,0.619910147751646,-0.126038371501401,2.91792870168962,3.18895237259365,3.99350708890966
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_50,3.485,0.791909123598906,0.0868625011812877,3.01879821175242,3.30120234410163,3.97182976852308
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_51,3.944,0.770884667601592,0.280510410784239,3.41430724316274,3.67041759407451,4.10317134989886
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_52,3.252,0.868670555297816,0.91711979598897,3.06352034079103,3.34348064957254,4.06684443946498
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_53,3.764,0.662762253484006,-0.002142565612616,3.32842233828448,3.60989772975918,4.05790027239122
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_54,3.616,0.894429658073846,0.170203612448177,3.33691220685604,3.56487744512563,4.14087455435275
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_55,3.485,0.846331551199397,-0.111651229307317,3.3811647153143,3.61101834565305,4.15556820790522
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_56,4.005,0.731693521159654,-0.16367059812722,3.23717710048457,3.50576784624181,4.0803636222718
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_57,3.682,0.734142782304821,-0.461217079248758,3.29813969192352,3.58405447644009,4.0595323606849
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_58,3.589,0.590235766125356,1.14510913942581,3.27789708540598,3.50347531836989,4.14813937362661
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_59,3.465,0.628480912690489,1.13805690541236,2.41725432756297,2.65366048302704,3.87406018127109
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_60,3.576,0.834677807678687,0.524978176205226,3.06118659819332,3.36813143549866,3.97138754587422
p245_017_Pub_Noise_Binaural_V2_0dB_SNR_61,1.926,0.638463085659316,0.588743729754358,3.19336682151999,3.48175115958473,4.02838231681214
p248_211_Pub_Noise_Binaural_V2_0dB_SNR_62,2.002,0.708116662537844,0.415589215365129,2.30069055920489,2.53727032097873,3.98225258430316
p245_314_Pub_Noise_Binaural_V2_0dB_SNR_63,1.792,0.537610527307272,0.937823312763709,2.82897922341254,3.22154337870528,3.75291965841653
p226_203_Pub_Noise_Binaural_V2_0dB_SNR_64,2.057,0.735398209230948,-0.790172243507227,2.7707381882867,3.13379941926592,3.76852050383287
p272_029_Pub_Noise_Binaural_V2_0dB_SNR_65,1.955,0.604731520982191,2.04055417244015,2.68640108351785,3.10682267554772,3.68891494901893
p265_060_Pub_Noise_Binaural_V2_0dB_SNR_66,2.113,0.53733821792422,-0.164231644477585,2.55147517726508,2.90650702312068,3.73328876301144
p240_237_Pub_Noise_Binaural_V2_0dB_SNR_67,1.875,0.547607671179133,0.88929180024374,1.95351908273849,2.28784927296904,3.538228107895
p272_338_Pub_Noise_Binaural_V2_0dB_SNR_68,1.839,0.454278834717445,1.57587450567271,2.7432209728462,3.13555695251109,3.70676574038727
p240_051_Pub_Noise_Binaural_V2_0dB_SNR_69,1.74,0.541188859732935,1.56433789848574,2.30529507925351,2.56087982674315,3.81346473335031
p240_309_Pub_Noise_Binaural_V2_0dB_SNR_70,1.522,0.561869280382833,-1.49350093289389,2.67309075363662,2.98046784149852,3.87092294686986
p245_017_Pub_Noise_Binaural_V2_5dB_SNR_71,2.283,0.663476700402811,1.7304325760342,3.21964258295461,3.49232067477986,4.06750973621448
p248_211_Pub_Noise_Binaural_V2_5dB_SNR_72,2.447,0.827200294613517,1.44374620491012,2.85991210132001,3.18207875883321,3.98185064450681
p245_314_Pub_Noise_Binaural_V2_5dB_SNR_73,2.085,0.581571427166924,2.74168574656515,3.05446663353758,3.51295311549539,3.70991133238199
p226_203_Pub_Noise_Binaural_V2_5dB_SNR_74,2.48,0.807282438412173,0.471541557674214,2.89627694306837,3.23301457483332,3.85317498783025
p272_029_Pub_Noise_Binaural_V2_5dB_SNR_75,2.567,0.724347926011455,2.75022767655859,3.30684669321271,3.57285593033042,4.09534483774968
p265_060_Pub_Noise_Binaural_V2_5dB_SNR_76,2.383,0.608412982156445,3.28954358903135,2.76463381377863,3.11283886486576,3.84052915606742
p240_237_Pub_Noise_Binaural_V2_5dB_SNR_77,2.352,0.633112408615464,4.69859522044467,3.10284944962519,3.41483027190573,3.98900180995474
p272_338_Pub_Noise_Binaural_V2_5dB_SNR_78,2.581,0.465452934041025,4.85307190831593,2.80814502563486,3.17154751516687,3.80959734537574
p240_051_Pub_Noise_Binaural_V2_5dB_SNR_79,2.347,0.58597116513941,3.38348091396369,2.51940747648498,2.77190774312625,3.8481347677059
p240_309_Pub_Noise_Binaural_V2_5dB_SNR_80,2.173,0.698960523828977,2.38357042764609,2.35230294872644,2.62154170364686,3.78876305750395
p245_017_Pub_Noise_Binaural_V2_10dB_SNR_81,3.081,0.700945687206442,3.59596891455155,3.18129481571485,3.5270935009873,3.93869177275689
p248_211_Pub_Noise_Binaural_V2_10dB_SNR_82,2.879,0.837936803358525,2.73981035402875,2.89527149305312,3.2246862112664,3.95200620167762
p245_314_Pub_Noise_Binaural_V2_10dB_SNR_83,2.681,0.568071898533271,4.15362176448207,3.26523448539832,3.59786651069039,3.94765838317319
p226_203_Pub_Noise_Binaural_V2_10dB_SNR_84,2.863,0.853191266981965,3.72476013894731,3.21076793414104,3.45239304472704,4.09754750934048
p272_029_Pub_Noise_Binaural_V2_10dB_SNR_85,2.784,0.776735110994094,5.75486845195036,3.01489019432947,3.36044446133938,3.88745030138517
p265_060_Pub_Noise_Binaural_V2_10dB_SNR_86,2.855,0.624328412448551,4.4920811001381,3.08070485393687,3.39686118150958,3.96919082874462
p240_237_Pub_Noise_Binaural_V2_10dB_SNR_87,2.875,0.700891031926459,4.42977011584391,2.9624207271723,3.34045286294548,3.83335166856046
p272_338_Pub_Noise_Binaural_V2_10dB_SNR_88,2.93,0.584952901013818,6.04424511288152,3.03111550518165,3.31652085082575,4.01320519373751
p240_051_Pub_Noise_Binaural_V2_10dB_SNR_89,2.634,0.588241848445928,5.78061500196128,2.57335568945164,2.83719925232465,3.83645589046109
p240_309_Pub_Noise_Binaural_V2_10dB_SNR_90,2.453,0.707493898562162,3.33408870380435,3.08465742938738,3.38493661460856,3.99489521203609
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_91,1.844,0.647837765937141,-1.41790581075517,3.05338697680891,3.37182538249963,3.94559803912648
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_92,1.813,0.727621164106272,-4.05377375801312,2.85539949200333,3.21466272455628,3.83891724948267
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_93,1.71,0.536465916051886,-4.09664463583061,2.392372922296,3.09708376027289,3.1363174815735
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_94,1.267,0.767825326117415,-6.71650091799931,2.33454293425837,2.80623535953047,3.36056431188651
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_95,2.147,0.662545428182355,-0.544027789143881,3.1768301353361,3.49488940030669,3.98856667153193
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_96,2.222,0.567075510120146,-2.8051034013469,2.67452339760021,3.04780982475235,3.76414944131081
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_97,1.877,0.57505447482111,-1.46069912799828,3.05586608803478,3.33404250402056,4.00503215001801
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_98,1.796,0.474406053344854,-2.21168600438733,2.97030469174508,3.31344355194912,3.90709969769966
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_99,1.68,0.5417338418276,-4.0614685845123,2.33831517726138,2.63006823981674,3.68454347316572
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_100,1.73,0.568737605126815,-3.33125090177559,2.62418496072484,2.95024117413982,3.77449435991904
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_101,2.204,0.721062858402509,-3.67295092511675,3.05713116343547,3.4590588951882,3.84073089314961
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_102,1.727,0.728941081590347,-4.33938380404218,2.78558026748704,3.13490445482507,3.87881477182053
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_103,1.929,0.536339076694492,-1.26328968414293,3.08110121425402,3.47840817397493,3.81446337309784
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_104,2.289,0.850909653061502,-2.11543713295841,2.99284212186029,3.35004170701285,3.82765789608654
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_105,1.704,0.716823157221198,-0.190804630491013,3.06668409926005,3.383624117471,3.97512182825187
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_106,2.231,0.61548296915879,-2.35677146896704,2.75614406103676,3.09355230980944,3.83355786129871
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_107,2.537,0.687988698424435,0.261311000861646,3.13343938801441,3.44590446806144,4.00739773057714
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_108,1.812,0.446862247538481,0.26306814903257,2.98285740752325,3.3251262824579,3.89924443418813
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_109,1.982,0.562579398443255,-0.820441586108252,2.37648568307598,2.65042166494366,3.75771840865587
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_110,1.62,0.6261123034256,-3.89197705197181,2.44596640193623,2.81685272289993,3.55309925699719
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_111,2.613,0.738192625086305,-1.64655933862861,3.17156398839066,3.53540063169799,3.90113322885735
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_112,2.974,0.87971350306465,-1.33211387649424,3.15995795438161,3.46493614110993,4.0320786651169
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_113,2.573,0.615517499296935,-0.31557874246744,3.2940966947375,3.63218096547395,3.93374593216783
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_114,2.774,0.873484945629659,0.2153116873857,3.14420060438776,3.44931266973627,3.98517336357074
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_115,2.719,0.738251798497211,-0.914542454469397,3.202996056173,3.51991618405632,3.99244373506594
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_116,2.747,0.671398003566333,-0.22816726773246,3.22997009821979,3.52905191666865,4.04760311266372
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_117,2.694,0.725251773209347,-1.48117408291071,3.17882391839256,3.48806014972291,4.01676732769996
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_118,2.721,0.552394836883646,0.979564658812477,2.97182156357121,3.28200364432489,3.96118976472252
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_119,2.237,0.571557672265222,-0.307942649586269,2.45563985328678,2.73398759446662,3.73532219138206
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_120,2.288,0.753581804623821,-0.255289387674206,3.08915436786289,3.38244380902008,3.982174391728
